publisher,event_label,is_control,mean_sentiment,median_sentiment,std_sentiment,n_articles
Deutsche Welle,IWD_2018_Global,False,-0.9870666666666666,-0.9939,0.01209641820264718,3
Deutsche Welle,Polish_Womens_Strike_2020,False,-0.980962,-0.9884999999999999,0.023862231193897604,50
Die Zeit,IWD_2018_Global,False,-0.9807,-0.98115,0.011361840897118277,8
Die Tageszeitung (taz),Polish_Womens_Strike_2020,False,-0.97247,-0.98185,0.0458411064527933,50
Frankfurter Allgemeine Zeitung,Polish_Womens_Strike_2020,False,-0.969012,-0.98055,0.06733774948810249,50
Spiegel Online,Polish_Womens_Strike_2020,False,-0.885382,-0.98245,0.3667364591715886,50
The Washington Times,Polish_Womens_Strike_2020,False,-0.453828,-0.8789,0.7198067802074757,50
Fox News,IWD_2018_Global,False,-0.298344,-0.7478,0.7729192011419289,50
The BBC,Polish_Womens_Strike_2020,False,-0.262078,-0.273,0.6749812448762513,50
Fox News,Polish_Womens_Strike_2020,False,-0.12815,-0.2949,0.7498837045209894,50
Daily Mail,Polish_Womens_Strike_2020,False,-0.05911199999999999,-0.39625,0.8378133235746394,50
Le Monde,Polish_Womens_Strike_2020,False,-0.055554,0.0,0.5270143386540245,50
The Washington Times,IWD_2018_Global,False,-0.052210000000000006,-0.24605,0.8115338234680382,50
es,Polish_Womens_Strike_2020,False,-0.003100000000000007,0.0,0.5604152206996493,50
Euronews (FR),Polish_Womens_Strike_2020,False,0.04217755102040816,0.0,0.4725798218578644,49
Euronews (EN),Polish_Womens_Strike_2020,False,0.053505999999999984,0.39994999999999997,0.8761701885769799,50
The Telegraph,IWD_2018_Global,False,0.11985,0.5866,0.8459567232743417,50
The Telegraph,Polish_Womens_Strike_2020,False,0.22168,0.5660000000000001,0.8341951631387474,50
The Sun,Polish_Womens_Strike_2020,False,0.350482,0.892,0.8029749279868645,50
CNBC,Polish_Womens_Strike_2020,False,0.457278,0.7866,0.6718636785593837,50
i,Polish_Womens_Strike_2020,False,0.47617800000000005,0.95175,0.7890096479816727,50
Business Insider,Polish_Womens_Strike_2020,False,0.628598,0.96355,0.6259421856624113,50
Daily Mail,IWD_2018_Global,False,0.8523217391304349,0.905,0.1495376752665049,23
