event_type,is_control,topic_label,n_articles,total_articles,topic_share_pct
single,False,-1_er_dass_000_year,51,184,27.72
single,False,0_league_arsenal_premier league_game,17,184,9.24
single,False,10_je_kultur_art_ich,2,184,1.09
single,False,12_gun_school_students_shooting,17,184,9.24
single,False,14_pakistan_macron_khan_islam,1,184,0.54
single,False,15_lamb_republican_mr_race,13,184,7.07
single,False,16_voters_trump_democrats_vote,2,184,1.09
single,False,18_jet_ber_flight_flughafen,3,184,1.63
single,False,19_album_ich_lucky_woodward,1,184,0.54
single,False,1_biden_trump_president_joe,2,184,1.09
single,False,20_land_africa_south_opposition,1,184,0.54
single,False,22_facebook_twitter_zuckerberg_post,3,184,1.63
single,False,23_vs_bundesliga_gegen_stuttgart,1,184,0.54
single,False,24_css_inlinelink_css yidnqd_yidnqd inlinelink,1,184,0.54
single,False,25_cup_england_united_world cup,1,184,0.54
single,False,29_patienten_dass_prozent_intensivstationen,1,184,0.54
single,False,2_students_university_school_student,20,184,10.87
single,False,31_credit_gen_retirement_muscle,4,184,2.17
single,False,35_ich_ruth_frauen_familia,2,184,1.09
single,False,36_men_mujeres_paz_women,1,184,0.54
single,False,3_lawsuit_sentencia_er_mossos,6,184,3.26
single,False,41_oregon_lópez_criminal_drug,1,184,0.54
single,False,4_murder_county_year old_death,2,184,1.09
single,False,5_halloween_pumpkin_trick_moon,1,184,0.54
single,False,7_plants_garden_binoculars_flowers,14,184,7.61
single,False,9_mr_shulkin_kudlow_trump,16,184,8.7
sustained,False,-1_er_dass_000_year,286,849,33.69
sustained,False,0_league_arsenal_premier league_game,23,849,2.71
sustained,False,10_je_kultur_art_ich,17,849,2.0
sustained,False,11_product_product marketing_marketing_quarter,19,849,2.24
sustained,False,12_gun_school_students_shooting,2,849,0.24
sustained,False,13_corbyn_labour_party_anti,18,849,2.12
sustained,False,14_pakistan_macron_khan_islam,16,849,1.88
sustained,False,15_lamb_republican_mr_race,2,849,0.24
sustained,False,16_voters_trump_democrats_vote,13,849,1.53
sustained,False,17_cases_vitamin_covid_covid 19,15,849,1.77
sustained,False,18_jet_ber_flight_flughafen,11,849,1.3
sustained,False,19_album_ich_lucky_woodward,12,849,1.41
sustained,False,1_biden_trump_president_joe,36,849,4.24
sustained,False,20_land_africa_south_opposition,12,849,1.41
sustained,False,21_confinement_lockdown_pour_france,12,849,1.41
sustained,False,22_facebook_twitter_zuckerberg_post,9,849,1.06
sustained,False,23_vs_bundesliga_gegen_stuttgart,11,849,1.3
sustained,False,24_css_inlinelink_css yidnqd_yidnqd inlinelink,11,849,1.3
sustained,False,25_cup_england_united_world cup,11,849,1.3
sustained,False,26_grünen_er_merz_spd,11,849,1.3
sustained,False,27_show_nathan_sister_series,10,849,1.18
sustained,False,28_christmas_gift_calendar_ll,10,849,1.18
sustained,False,29_patienten_dass_prozent_intensivstationen,9,849,1.06
sustained,False,2_students_university_school_student,13,849,1.53
sustained,False,30_myers_franklin_team_nfl,9,849,1.06
sustained,False,31_credit_gen_retirement_muscle,5,849,0.59
sustained,False,32_cannabis_art_terry_talbot,9,849,1.06
sustained,False,33_samos_izmir_turquie_tsunami,8,849,0.94
sustained,False,34_asylum_crossings_usa_asylum seekers,8,849,0.94
sustained,False,35_ich_ruth_frauen_familia,6,849,0.71
sustained,False,36_men_mujeres_paz_women,7,849,0.82
sustained,False,37_tier_spiegel_gerät_restrictions,8,849,0.94
sustained,False,38_course_class_online_courses,8,849,0.94
sustained,False,39_electric_range_charging_cars,7,849,0.82
sustained,False,3_lawsuit_sentencia_er_mossos,26,849,3.06
sustained,False,40_georgia_russia_belarus_political,7,849,0.82
sustained,False,41_oregon_lópez_criminal_drug,5,849,0.59
sustained,False,42_says_kandidaten_électorat_etats,6,849,0.71
sustained,False,43_market cap_ticker_cap_market,6,849,0.71
sustained,False,44_pubs_pub_león_castilla león,6,849,0.71
sustained,False,45_amb_més_cementerios_tots,5,849,0.59
sustained,False,46_europa_morales_proteste_muerte,5,849,0.59
sustained,False,47_maßnahmen_allemagne_parteitag_scottish,5,849,0.59
sustained,False,4_murder_county_year old_death,29,849,3.42
sustained,False,5_halloween_pumpkin_trick_moon,28,849,3.3
sustained,False,6_prozent_pour_ne_sont,23,849,2.71
sustained,False,7_plants_garden_binoculars_flowers,8,849,0.94
sustained,False,8_nizza_nice_frankreich_notre,21,849,2.47
sustained,False,9_mr_shulkin_kudlow_trump,5,849,0.59
